384well,238,96well,1,5
384well,239,96well,1,7
384well,240,96well,1,7
384well,241,96well,1,12
384well,242,96well,1,12
384well,243,96well,1,17
384well,244,96well,1,12
384well,245,96well,1,7
384well,246,96well,1,12
384well,247,96well,1,7
384well,248,96well,1,12
384well,249,96well,1,7
384well,250,96well,1,7
384well,251,96well,1,12
384well,252,96well,1,7
384well,253,96well,1,9
384well,254,96well,1,9
384well,255,96well,1,10
384well,256,96well,1,7
384well,257,96well,1,12
384well,258,96well,1,12
384well,259,96well,1,12
384well,260,96well,1,12
384well,261,96well,1,12
384well,262,96well,1,12
384well,263,96well,1,7
384well,264,96well,1,9
384well,265,96well,1,7
384well,266,96well,1,9
384well,267,96well,1,9
384well,268,96well,1,7
384well,269,96well,1,7
384well,270,96well,1,9
384well,271,96well,1,12
384well,272,96well,1,7
384well,273,96well,1,7
384well,274,96well,1,12
384well,275,96well,1,10
384well,276,96well,1,7
384well,277,96well,1,6
384well,278,96well,1,6
384well,279,96well,1,7
384well,280,96well,1,9
384well,281,96well,1,7
384well,282,96well,1,12
384well,283,96well,1,9
384well,284,96well,1,7
384well,285,96well,2,5
384well,286,96well,2,9
384well,287,96well,2,6
